Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5XeFesFbtLpXzIVDNQP22n,"I Wanna Be Yours","AM","Arctic Monkeys",2013-09-09,183956,91,jonathan.holgersson,2024-02-27T17:46:10Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Recording Co",0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
2Ch7LmS7r2Gy2kc64wv3Bz,"Die For You","Starboy","The Weeknd",2016-11-25,260252,79,jonathan.holgersson,2024-02-15T21:57:53Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.586,0.525,1,-7.163,0,0.0616,0.111,0,0.134,0.507,133.63,4
25khomWgBVamSdKw7hzm3l,"The Hills","Beauty Behind The Madness","The Weeknd",2015-08-28,242253,4,jonathan.holgersson,2024-02-15T21:57:53Z,"canadian contemporary r&b,canadian pop,pop","Universal Music Group",0.356,0.567,0,-7.011,0,0.0798,0.0861,0,0.137,0.109,135.553,5
3CRDbSIZ4r5MsZ0YwxuEkn,"Stressed Out","Blurryface","Twenty One Pilots",2015-05-15,202333,86,jonathan.holgersson,2024-02-15T21:57:53Z,"modern rock,pop,pov: indie,rock","Fueled By Ramen",0.734,0.637,4,-5.677,0,0.141,0.0462,0.0000229,0.0602,0.648,169.977,4
3Rc6xattcgKfdQ7NfnEDvN,"Thunder","Thunder","Mackwood,Eerf Evil,Kianja",2024-09-12,302080,18,jonathan.holgersson,2024-09-23T18:36:19Z,"uk alternative hip hop","5dB Records",0.488,0.519,4,-8.559,0,0.173,0.451,0.0074,0.192,0.148,160.072,4
2Oehrcv4Kov0SuIgWyQY9e,"Demons","Night Visions (Deluxe)","Imagine Dragons",2012-09-04,175200,2,jonathan.holgersson,2024-02-15T21:57:53Z,"modern rock,pop,rock","Universal Music Group",0.327,0.71,3,-2.928,1,0.0547,0.202,0.00009,0.28,0.416,179.561,4
3hRV0jL3vUpRrcy398teAU,"The Night We Met","Strange Trails","Lord Huron",2015-04-06,208211,90,jonathan.holgersson,2024-05-03T08:06:46Z,"indie folk,stomp and holler","Play It Again Sam",0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
68Dni7IE4VyPkTOH9mRWHr,"No Role Modelz","2014 Forest Hills Drive","J. Cole",2014-12-09,292799,85,jonathan.holgersson,2024-02-15T21:57:53Z,"conscious hip hop,hip hop,north carolina hip hop,rap","Roc Nation Records LLC",0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,4
7DFNE7NO0raLIUbgzY2rzm,"Let Her Go","All The Little Lights","Passenger",2012-11-05,252866,12,jonathan.holgersson,2024-02-15T21:57:53Z,"folk-pop,neo mellow","Sony Music Entertainment",0.509,0.538,7,-7.335,1,0.0572,0.385,0,0.104,0.244,75.089,4
5mEGzlJX7LDSrqsJwAd3dM,"Cry","Cry","Sean Ryder",2024-09-02,226500,14,jonathan.holgersson,2024-09-23T18:37:15Z,"worcester ma indie","Sean Ryder",0.689,0.369,1,-9.813,1,0.0336,0.0173,0.00992,0.109,0.0378,120.043,4
6ocbgoVGwYJhOv1GgI9NsF,"7 rings","thank u, next","Ariana Grande",2019-02-08,178626,82,jonathan.holgersson,2024-02-15T21:57:53Z,"pop","Republic Records",0.777,0.317,1,-10.732,0,0.308,0.591,0,0.0881,0.33,139.848,4
7ujx3NYtwO2LkmKGz59mXp,"HUMBLE.","DAMN.","Kendrick Lamar",2017-04-14,177000,3,jonathan.holgersson,2024-02-15T21:57:53Z,"conscious hip hop,hip hop,rap,west coast rap","Universal Music Group",0.906,0.625,1,-6.779,0,0.0903,0.000243,0.0000323,0.0975,0.423,150.018,4
003vvx7Niy0yvhvHt4a68B,"Mr. Brightside","Hot Fuss","The Killers",2004,222973,87,jonathan.holgersson,2024-02-15T21:57:53Z,"alternative rock,dance rock,modern rock,permanent wave,rock","Island Records",0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,4
1mea3bSkSGXuIRvnydlB5b,"Viva La Vida","Viva La Vida or Death and All His Friends","Coldplay",2008-05-26,242373,87,jonathan.holgersson,2024-02-15T21:57:53Z,"permanent wave,pop","Parlophone UK",0.486,0.617,5,-7.115,0,0.0287,0.0954,0.00000323,0.109,0.417,138.015,4
7MJQ9Nfxzh8LPZ9e9u68Fq,"Lose Yourself","SHADYXV","Eminem",2014-11-24,320626,69,jonathan.holgersson,2024-02-15T21:57:53Z,"detroit hip hop,hip hop,rap","3H",0.689,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403,4
5FVd6KXrgO9B3JPmC8OPst,"Do I Wanna Know?","AM","Arctic Monkeys",2013-09-09,272394,86,jonathan.holgersson,2024-02-15T21:57:53Z,"garage rock,modern rock,permanent wave,rock,sheffield indie","Domino Recording Co",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
7lQ8MOhq6IN2w8EYcFNSUk,"Without Me","The Eminem Show","Eminem",2002-05-26,290320,87,jonathan.holgersson,2024-02-15T21:57:53Z,"detroit hip hop,hip hop,rap","Aftermath",0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,4
7ef4DlsgrMEH11cDZd32M6,"One Kiss (with Dua Lipa)","One Kiss (with Dua Lipa)","Calvin Harris,Dua Lipa",2018-04-06,214846,80,jonathan.holgersson,2024-02-15T21:57:53Z,"dance pop,edm,electro house,house,pop,progressive house,uk dance,uk pop","Sony Music UK",0.791,0.862,9,-3.24,0,0.11,0.037,0.0000219,0.0814,0.592,123.994,4
5y8GpqdjvF1jd6AmoC3wrX,"Dangerous","Dangerous","The Ramona Flowers",2024-08-09,214280,40,jonathan.holgersson,2024-09-08T18:05:33Z,"","Distiller Records",0.628,0.926,10,-2.986,0,0.0952,0.149,0,0.052,0.614,123.05,4
5wANPM4fQCJwkGd4rN57mH,"drivers license","SOUR","Olivia Rodrigo",2021-05-21,242013,83,jonathan.holgersson,2024-02-15T21:57:53Z,"pop","Olivia Rodrigo PS",0.561,0.431,10,-8.81,1,0.0578,0.768,0.0000142,0.106,0.137,143.875,4
3ee8Jmje8o58CHK66QrVC2,"SAD!","?","XXXTENTACION",2018-03-16,166605,79,jonathan.holgersson,2024-02-15T21:57:53Z,"emo rap,miami hip hop,rap","Bad Vibes Forever, LLC",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4
48DKpTEVJ2pAjxQbWTad3q,"Treat You Better","Illuminate (Deluxe)","Shawn Mendes",2017-04-20,187973,55,jonathan.holgersson,2024-02-27T17:43:40Z,"canadian pop,pop,viral pop","Island Records",0.443,0.82,10,-4.091,0,0.34,0.107,0,0.107,0.771,82.697,4
