Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Category
47,238.926,0.55,0.428,3,-7.746,1,0.0384,0.392,0.0,0.104,0.367,144.169,4,Favoritas
77,216.41,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,3,Favoritas
49,190.493,0.527,0.225,7,-11.654,1,0.0341,0.896,3.12e-05,0.114,0.209,124.46,4,Favoritas
37,176.52,0.83,0.576,7,-6.879,1,0.205,0.3,0.0,0.0567,0.758,100.06,4,Favoritas
41,186.773,0.638,0.535,6,-9.988,0,0.0268,0.765,0.00603,0.103,0.666,108.05,4,Favoritas
37,218.286,0.835,0.332,6,-9.511,0,0.0481,0.479,1.12e-05,0.105,0.696,101.96,4,Favoritas
46,194.05,0.653,0.605,7,-6.371,1,0.0368,0.581,0.0,0.101,0.531,157.838,4,Favoritas
45,225.401,0.689,0.651,6,-8.769,0,0.0439,0.448,2.27e-06,0.331,0.792,99.951,4,Favoritas
51,195.932,0.603,0.554,4,-7.794,0,0.0808,0.625,0.0,0.0712,0.828,108.335,3,Favoritas
53,222.839,0.748,0.416,9,-8.205,1,0.1,0.744,4.2e-05,0.156,0.729,145.135,4,Favoritas
65,196.225,0.604,0.569,7,-5.828,1,0.0378,0.11,0.0,0.14,0.556,99.313,4,Favoritas
58,227.12,0.676,0.727,0,-4.943,1,0.0309,0.278,0.0,0.19,0.739,105.003,4,Favoritas
57,200.735,0.378,0.359,4,-14.638,0,0.0447,0.0658,0.0,0.341,0.285,101.96,4,Favoritas
39,183.532,0.552,0.849,1,-5.569,0,0.0785,0.165,0.000846,0.276,0.788,165.073,4,Favoritas
55,178.186,0.762,0.85,7,-5.303,1,0.141,0.154,0.000398,0.0474,0.747,105.444,4,Favoritas
31,178.866,0.546,0.916,7,-4.585,1,0.126,0.272,6.65e-06,0.153,0.729,88.041,4,Favoritas
32,244.834,0.475,0.911,7,-5.947,1,0.183,0.15,0.0,0.0956,0.578,169.962,4,Favoritas
53,246.693,0.511,0.915,2,-2.864,1,0.037,0.00201,0.000313,0.227,0.375,147.976,4,Favoritas
58,206.872,0.657,0.548,8,-7.267,1,0.045,0.395,0.000689,0.0958,0.599,135.143,4,Favoritas
57,211.491,0.506,0.778,5,-6.495,0,0.0309,0.409,0.11,0.177,0.801,167.949,4,Favoritas
27,182.557,0.489,0.462,8,-5.812,1,0.0325,0.221,0.0,0.149,0.365,181.829,3,Favoritas
40,153.666,0.66,0.374,1,-6.772,0,0.0276,0.238,0.000101,0.118,0.223,105.988,4,Favoritas
38,194.693,0.544,0.613,0,-6.126,1,0.0252,0.118,0.0016,0.327,0.385,78.019,4,Favoritas
27,296.748,0.554,0.693,9,-7.732,1,0.034,0.0446,1.33e-05,0.225,0.192,117.905,4,Favoritas
36,250.851,0.615,0.66,5,-7.453,1,0.0344,0.359,0.000229,0.107,0.407,121.149,4,Favoritas
32,163.69,0.615,0.809,0,-6.722,1,0.0843,0.0242,2.12e-06,0.554,0.628,165.056,4,Favoritas
51,230.183,0.824,0.514,5,-7.644,1,0.0333,0.128,4e-06,0.129,0.698,110.047,4,Favoritas
52,163.322,0.58,0.891,6,-4.1,1,0.0723,0.0451,0.0,0.119,0.531,181.899,4,Favoritas
27,344.706,0.404,0.736,3,-5.572,1,0.181,0.735,0.0,0.944,0.577,123.282,3,Favoritas
50,283.866,0.708,0.67,4,-7.619,1,0.226,0.666,0.0,0.26,0.812,87.327,4,Favoritas
39,240.633,0.283,0.672,7,-10.864,1,0.0633,0.0138,0.0,0.39,0.384,156.853,4,Favoritas
53,242.351,0.486,0.852,1,-4.835,1,0.0565,0.3,6.75e-06,0.581,0.346,147.826,4,Favoritas
46,196.325,0.526,0.397,10,-7.356,1,0.0971,0.427,1.26e-06,0.132,0.484,189.69,4,Favoritas
47,179.739,0.796,0.566,6,-7.466,0,0.102,0.553,7.2e-06,0.109,0.831,112.924,4,Favoritas
44,210.88,0.58,0.456,2,-6.203,1,0.0324,0.671,0.0,0.0729,0.358,78.949,4,Favoritas
7,176.195,0.608,0.629,5,-7.779,1,0.0305,0.0765,0.0,0.0955,0.574,141.736,4,Favoritas
45,217.728,0.589,0.334,9,-7.115,0,0.0274,0.473,0.000312,0.148,0.19,113.882,3,Favoritas
47,222.071,0.491,0.562,6,-6.636,0,0.0611,0.0552,7.51e-05,0.249,0.261,153.876,4,Favoritas
44,234.743,0.825,0.538,0,-8.814,0,0.0404,0.677,0.000206,0.106,0.816,131.977,4,Favoritas
49,187.699,0.65,0.713,1,-5.106,1,0.0453,0.00253,3.05e-05,0.0554,0.815,115.017,4,Favoritas
43,202.973,0.32,0.908,7,-4.97,1,0.0693,0.00731,0.681,0.303,0.572,81.818,4,Favoritas
29,182.78,0.613,0.939,4,-5.001,1,0.0323,0.525,0.0,0.276,0.969,131.932,4,Favoritas
2,276.911,0.425,0.367,7,-9.273,1,0.0338,0.739,0.00161,0.236,0.496,86.541,4,Favoritas
28,206.186,0.686,0.784,11,-4.196,1,0.0564,0.0112,0.0,0.235,0.936,132.957,4,Favoritas
